Time        | File Name                                                              
9m21.81s    | Specific/solinas32_2e452m3_18limbs/femul                               
9m20.78s    | Specific/montgomery32_2e174m3_6limbs/fesub                             
9m16.28s    | Specific/montgomery32_2e191m19_6limbs/fesub                            
9m13.62s    | Specific/montgomery32_2e165m25_6limbs/fesub                            
9m13.35s    | Specific/montgomery32_2e166m5_6limbs/fesub                             
9m12.10s    | Specific/solinas32_2e448m2e224m1_16limbs/fesquare                      
9m11.89s    | Specific/montgomery32_2e171m19_6limbs/fesub                            
9m11.03s    | Specific/solinas32_2e416m2e208m1_16limbs/fesquare                      
8m57.84s    | Specific/solinas32_2e521m1_20limbs/fesquare                            
8m56.88s    | Specific/solinas32_2e414m17_17limbs/femul                              
8m36.69s    | Specific/solinas32_2e382m105_17limbs/femul                             
8m30.46s    | Specific/solinas32_2e488m17_20limbs/fesquare                           
8m24.90s    | Specific/solinas32_2e489m21_20limbs/fesquare                           
8m21.39s    | Specific/solinas32_2e322m2e161m1_14limbs/femul                         
8m20.36s    | Specific/solinas32_2e495m31_20limbs/fesquare                           
8m19.46s    | Specific/solinas32_2e383m187_17limbs/femul                             
8m03.07s    | Specific/solinas32_2e383m421_17limbs/femul                             
8m01.70s    | Specific/solinas32_2e521m1_19limbs/fesquare                            
7m58.18s    | Specific/solinas32_2e413m21_17limbs/femul                              
7m55.72s    | Specific/solinas32_2e450m2e225m1_18limbs/femul                         
7m54.22s    | Specific/montgomery32_2e480m2e240m1_15limbs/Synthesis                  
7m54.09s    | Specific/solinas32_2e401m31_17limbs/femul                              
7m49.34s    | Specific/montgomery32_2e468m17_15limbs/Synthesis                       
7m47.25s    | Specific/montgomery32_2e452m3_15limbs/Synthesis                        
7m46.61s    | Specific/montgomery32_2e450m2e225m1_15limbs/Synthesis                  
7m44.61s    | Specific/solinas32_2e384m317_17limbs/femul                             
7m43.68s    | Specific/solinas32_2e444m17_18limbs/fesquare                           
7m33.80s    | Specific/solinas32_2e512m569_25limbs/Synthesis                         
7m27.19s    | Specific/solinas32_2e452m3_17limbs/femul                               
7m12.20s    | Specific/solinas32_2e511m481_24limbs/fesub                             
7m11.11s    | Specific/solinas32_2e512m569_24limbs/feadd                             
7m08.89s    | Specific/solinas32_2e488m17_19limbs/fesquare                           
7m08.80s    | Specific/solinas32_2e512m569_24limbs/fesub                             
7m06.72s    | Specific/solinas32_2e489m21_19limbs/fesquare                           
7m03.27s    | Specific/solinas32_2e511m481_24limbs/feadd                             
6m57.60s    | Specific/solinas32_2e383m187_16limbs/femul                             
6m56.90s    | Specific/solinas32_2e468m17_19limbs/fesquare                           
6m50.69s    | Specific/solinas32_2e382m105_16limbs/femul                             
6m49.28s    | Specific/solinas32_2e379m19_16limbs/femul                              
6m40.93s    | Specific/solinas32_2e414m17_16limbs/femul                              
6m39.87s    | Specific/solinas32_2e369m25_16limbs/femul                              
6m38.50s    | Specific/solinas32_2e384m317_18limbs/fesquare                          
6m35.90s    | Specific/solinas32_2e383m31_16limbs/femul                              
6m34.75s    | Specific/solinas32_2e401m31_16limbs/femul                              
6m34.50s    | Specific/solinas32_2e511m481_24limbs/Synthesis                         
6m32.76s    | Specific/montgomery64_2e322m2e161m1_6limbs/feopp                       
6m26.89s    | Specific/solinas32_2e512m569_24limbs/Synthesis                         
6m25.35s    | Specific/solinas32_2e468m17_18limbs/fesquare                           
6m22.03s    | Specific/montgomery32_2e190m11_6limbs/feopp                            
6m18.38s    | Specific/solinas32_2e389m21_16limbs/femul                              
6m17.72s    | Specific/solinas32_2e413m21_16limbs/femul                              
6m16.49s    | Specific/solinas32_2e322m2e161m1_14limbs/fesquare                      
6m15.85s    | Specific/montgomery64_2e383m187_6limbs/feopp                           
6m15.84s    | Specific/montgomery64_2e338m15_6limbs/feopp                            
6m14.93s    | Specific/montgomery64_2e336m3_6limbs/feopp                             
6m14.54s    | Specific/montgomery64_2e383m421_6limbs/feopp                           
6m14.08s    | Specific/montgomery64_2e384m317_6limbs/feopp                           
6m13.28s    | Specific/montgomery64_2e383m31_6limbs/feopp                            
